Player,Team,Season,SeasonType,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FGPer,3PTM,3PTA,3PTPer,FTM,FTA,FTPer
Dirk Nowitzki,Mavericks,2007-2008,REG,77,35.96,23.6,1.23,7.32,8.56,3.45,0.66,0.92,2.08,2.57,8.18,17.06,0.479,1.03,2.86,0.359,6.21,7.06,0.879
Tim Duncan,Spurs,2004-2005,POFF,23,37.65,23.57,3.78,8.65,12.43,2.74,0.35,2.26,2.7,2.87,8.57,18.48,0.464,0.04,0.22,0.2,6.39,8.91,0.717
Blake Griffin,Clippers,2013-2014,POFF,13,36.78,23.54,2.77,4.69,7.46,3.77,1.23,1.08,2.38,4.15,9,18.08,0.498,0.08,0.62,0.125,5.46,7.38,0.74
Carlos Boozer,Jazz,2006-2007,POFF,17,38.47,23.53,3.18,9,12.18,2.94,1,0.29,3,3.06,9.53,17.76,0.536,0,0,0,4.47,6.06,0.738
Allen Iverson,76ers,1996-1997,REG,76,40.05,23.51,1.51,2.59,4.11,7.46,2.07,0.32,4.43,3.07,8.22,19.79,0.416,2.04,5.99,0.341,5.03,7.16,0.702
Charles Barkley,Rockets,1998-1999,POFF,4,39.15,23.5,3.25,10.5,13.75,3.75,1.5,0.5,2,3,9,17,0.529,0.5,1.75,0.286,5,7.5,0.667
David Robinson,Spurs,1999-2000,POFF,4,38.79,23.5,4.25,9.5,13.75,2.5,1.5,3,2,3.75,7.75,20.75,0.373,0,0.25,0,8,10.5,0.762
Troy Hudson,Timberwolves,2002-2003,POFF,6,36.76,23.5,0.17,1.83,2,5.5,1.33,0,2.67,0.83,7.33,17.67,0.415,2.83,6.5,0.436,6,6.33,0.947
Dwyane Wade,Heat,2006-2007,POFF,4,40.45,23.5,1.75,3,4.75,6.25,1.25,0.5,5.75,3.25,9,21,0.429,0,1.25,0,5.5,8,0.688
Russell Westbrook,Thunder,2015-2016,REG,80,34.37,23.48,1.81,6.03,7.84,10.45,2.04,0.25,4.28,2.5,8.2,18.05,0.454,1.26,4.26,0.296,5.81,7.16,0.812
DeMar DeRozan,Raptors,2015-2016,REG,78,35.95,23.46,0.82,3.65,4.47,4.03,1.05,0.27,2.23,2.14,7.87,17.65,0.446,0.6,1.78,0.338,7.12,8.37,0.85
Kevin Martin,Rockets,2010-2011,REG,80,32.53,23.45,0.35,2.88,3.23,2.48,1,0.19,2.3,1.94,6.91,15.84,0.436,2.2,5.74,0.383,7.43,8.36,0.888
Stephen Curry,Warriors,2012-2013,POFF,12,41.37,23.42,0.42,3.42,3.83,8.08,1.67,0.17,3.33,2.92,8.5,19.58,0.434,3.5,8.83,0.396,2.92,3.17,0.921
Dirk Nowitzki,Mavericks,2001-2002,REG,76,38.03,23.41,1.58,8.36,9.93,2.45,1.09,1.01,1.91,2.92,7.89,16.55,0.477,1.83,4.61,0.397,5.79,6.79,0.853
Dirk Nowitzki,Mavericks,2000-2001,POFF,10,39.98,23.4,1.4,6.7,8.1,1.4,1.1,0.8,1.4,3.7,6.9,16.3,0.423,1.3,4.6,0.283,8.3,9.4,0.883
Bradley Beal,Wizards,2014-2015,POFF,10,41.78,23.4,1.4,4.1,5.5,4.6,1.6,0.7,2.6,1.9,8.1,20,0.405,2.3,6.3,0.365,4.9,5.9,0.831
LaMarcus Aldridge,Trail Blazers,2014-2015,REG,71,35.38,23.39,2.49,7.73,10.23,1.75,0.68,0.96,1.72,1.76,9.28,19.93,0.466,0.52,1.48,0.352,4.31,5.1,0.845
Glenn Robinson,Bucks,1997-1998,REG,56,40.95,23.36,1.46,4.02,5.48,2.82,1.23,0.61,3.57,2.93,9.54,20.29,0.47,0.45,1.16,0.385,3.84,4.75,0.808
Antoine Walker,Celtics,2000-2001,REG,81,41.91,23.36,1.86,7.01,8.88,5.49,1.7,0.6,3.72,3.1,8.78,21.23,0.413,2.73,7.44,0.367,3.07,4.3,0.716
Tim Duncan,Spurs,2002-2003,REG,81,39.29,23.26,3.2,9.68,12.88,3.9,0.68,2.93,3.06,2.85,8.81,17.19,0.513,0.07,0.27,0.273,5.56,7.83,0.71
Chris Webber,Kings,2000-2001,POFF,8,43.6,23.25,4.25,7.25,11.5,3.13,1.13,1,3.88,3.63,9.5,24.5,0.388,0,0.13,0,4.25,6.13,0.694
Tim Duncan,Spurs,1998-1999,POFF,17,43.06,23.24,3.24,8.24,11.47,2.82,0.76,2.65,3.06,2.94,8.47,16.59,0.511,0,0.18,0,6.29,8.41,0.748
LaMarcus Aldridge,Trail Blazers,2013-2014,REG,69,36.22,23.23,2.41,8.7,11.1,2.58,0.91,0.99,1.78,2.13,9.45,20.62,0.458,0.04,0.22,0.2,4.29,5.22,0.822
Jason Richardson,Warriors,2005-2006,REG,75,38.36,23.21,1.4,4.44,5.84,3.09,1.29,0.49,2.23,2.75,8.55,19.17,0.446,2.44,6.36,0.384,3.68,5.47,0.673
Hakeem Olajuwon,Rockets,1996-1997,REG,78,36.58,23.21,2.22,6.96,9.18,3.03,1.5,2.22,3.6,3.19,9.32,18.28,0.51,0.06,0.21,0.313,4.5,5.72,0.787
Russell Westbrook,Thunder,2012-2013,REG,82,34.89,23.21,1.35,3.87,5.22,7.4,1.77,0.29,3.33,2.3,8.21,18.72,0.438,1.18,3.66,0.323,5.61,7.01,0.8
Amar'e Stoudemire,Suns,2007-2008,POFF,5,40.75,23.2,3,6,9,0.4,1.4,2.4,2.8,3.8,9.6,19.8,0.485,0.2,0.8,0.25,3.8,6,0.633
Mitch Richmond,Kings,1997-1998,REG,70,36.72,23.19,0.71,2.56,3.27,3.99,1.26,0.21,2.59,2.2,7.76,17.43,0.445,1.86,4.77,0.389,5.81,6.73,0.864
Tim Duncan,Spurs,1999-2000,REG,74,38.9,23.19,3.54,8.86,12.41,3.16,0.89,2.23,3.27,2.84,8.49,17.31,0.49,0.01,0.15,0.091,6.2,8.15,0.761
Karl Malone,Jazz,2000-2001,REG,81,35.69,23.19,1.41,6.85,8.26,4.46,1.15,0.77,3.01,2.67,8.27,16.6,0.498,0.02,0.06,0.4,6.62,8.35,0.793
Bonzi Wells,Kings,2005-2006,POFF,6,41.43,23.17,4.17,7.83,12,1.33,0.83,0.33,3,4.17,8.83,14.5,0.609,0.83,1.33,0.625,4.67,7.17,0.651
Paul George,Pacers,2015-2016,REG,81,34.8,23.14,0.98,5.98,6.95,4.06,1.88,0.36,3.27,2.84,7.47,17.88,0.418,2.59,6.98,0.372,5.6,6.52,0.86
Hakeem Olajuwon,Rockets,1996-1997,POFF,16,40.49,23.13,2.88,8,10.88,3.38,2.06,2.56,2.88,3.81,9.19,15.56,0.59,0,0.19,0,4.75,6.5,0.731
Al Jefferson,Timberwolves,2008-2009,REG,50,36.72,23.12,3.44,7.52,10.96,1.58,0.78,1.66,1.84,2.82,9.7,19.5,0.497,0,0.08,0,3.72,5.04,0.738
