Player,Team,Season,SeasonType,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FGPer,3PTM,3PTA,3PTPer,FTM,FTA,FTPer
Tyler Zeller,Celtics,2014-2015,POFF,4,22.42,8.5,0.5,4,4.5,0.5,0.5,0.25,1,1.25,3.75,7.25,0.517,0,0,0,1,1.25,0.8
Cory Joseph,Raptors,2015-2016,POFF,20,22.62,8.5,0.55,1.5,2.05,2.35,0.9,0.1,1.1,2.35,3.45,7.4,0.466,0.4,1.2,0.333,1.2,1.6,0.75
Amir Johnson,Celtics,2015-2016,POFF,6,22.25,8.5,1.83,5.33,7.17,0.67,0.17,1.33,1.67,2.17,3.67,5.5,0.667,0,0.33,0,1.17,1.5,0.778
Jason Kapono,Bobcats,2004-2005,REG,81,18.4,8.49,0.4,1.63,2.02,0.75,0.49,0.07,0.57,1.63,3.32,8.28,0.401,0.99,2.4,0.412,0.86,1.05,0.824
John Salmons,Kings,2006-2007,REG,79,27.02,8.49,0.59,2.75,3.34,3.22,0.92,0.34,1.51,2.24,2.99,6.54,0.456,0.51,1.42,0.357,2.01,2.58,0.779
Tyler Hansbrough,Pacers,2009-2010,REG,29,17.61,8.48,2.07,2.69,4.76,0.97,0.59,0.28,0.72,2.41,2.79,7.76,0.36,0,0.14,0,2.9,3.9,0.743
Chucky Brown,Hornets,1998-1999,REG,48,24.86,8.48,0.75,2.88,3.63,1.19,0.33,0.4,0.79,2.21,3.67,7.77,0.472,0.31,0.83,0.375,0.83,1.23,0.678
Peja Stojakovic,"Hornets, Raptors, Mavericks",2010-2011,REG,33,18.68,8.48,0.42,1.85,2.27,0.88,0.39,0.06,0.52,0.73,3.03,6.88,0.441,1.73,4.12,0.419,0.7,0.76,0.92
Mirza Teletovic,Nets,2014-2015,REG,40,22.31,8.48,0.68,4.18,4.85,1.13,0.35,0.4,1.33,1.85,3.05,7.98,0.382,1.55,4.83,0.321,0.83,1.15,0.717
Brandon Bass,Mavericks,2008-2009,REG,81,19.44,8.47,1.59,2.94,4.53,0.53,0.33,0.68,1.06,1.73,3.11,6.27,0.496,0,0.07,0,2.25,2.59,0.867
Josh McRoberts,Bobcats,2013-2014,REG,78,30.26,8.47,1.09,3.69,4.78,4.27,0.74,0.59,1.06,2.42,3.17,7.26,0.436,1.35,3.73,0.361,0.79,1.09,0.729
Brent Barry,Spurs,2006-2007,REG,75,21.74,8.47,0.23,1.91,2.13,1.84,0.75,0.16,0.81,1.17,2.69,5.67,0.475,1.71,3.83,0.446,1.37,1.56,0.88
Shane Battier,Grizzlies,2003-2004,REG,79,24.68,8.47,1.29,2.54,3.84,1.28,1.28,0.73,0.71,2.37,3.06,6.87,0.446,0.82,2.35,0.349,1.52,2.08,0.732
Jamario Moon,Raptors,2007-2008,REG,78,27.77,8.47,1.18,5.03,6.21,1.15,1.03,1.38,0.65,1.95,3.58,7.37,0.485,0.51,1.56,0.328,0.81,1.09,0.741
Andres Nocioni,Kings,2009-2010,REG,75,19.7,8.47,0.43,2.53,2.96,1,0.43,0.35,0.89,2.13,3.12,7.83,0.399,1.28,3.32,0.386,0.95,1.32,0.717
Eric Bledsoe,Clippers,2012-2013,REG,76,20.43,8.46,1.03,1.93,2.96,3.07,1.43,0.72,1.8,1.47,3.33,7.47,0.445,0.41,1.03,0.397,1.39,1.76,0.791
Darren Collison,Clippers,2013-2014,POFF,13,19.15,8.46,0.77,1.31,2.08,2.38,0.46,0.08,0.92,1.31,2.69,6.92,0.389,0.08,0.92,0.083,3,3.46,0.867
Jorge Garbajosa,Raptors,2006-2007,REG,67,28.5,8.46,0.72,4.21,4.93,1.87,1.16,0.22,0.96,1.34,3.31,7.9,0.42,0.99,2.88,0.342,0.85,1.16,0.731
Cory Joseph,Raptors,2015-2016,REG,80,25.58,8.46,0.48,2.15,2.63,3.13,0.79,0.25,1.28,1.64,3.21,7.31,0.439,0.38,1.38,0.273,1.66,2.18,0.764
Jon Leuer,Suns,2015-2016,REG,67,18.74,8.46,1.13,4.43,5.57,1.07,0.57,0.45,1.12,1.87,3.34,6.96,0.481,0.63,1.64,0.382,1.15,1.51,0.762
Willie Green,76ers,2008-2009,REG,81,22.56,8.46,0.36,1.2,1.56,1.95,0.65,0.16,0.79,1.9,3.53,8.12,0.435,0.63,1.99,0.317,0.77,1.05,0.729
Antoine Walker,Heat,2006-2007,REG,78,23.31,8.46,1.18,3.17,4.35,1.67,0.62,0.22,1.81,2.22,3.4,8.56,0.397,1.08,3.91,0.275,0.59,1.35,0.438
Brandan Wright,Mavericks,2012-2013,REG,64,17.95,8.45,1.33,2.73,4.06,0.59,0.41,1.19,0.53,1.22,3.77,6.31,0.597,0,0.05,0,0.92,1.5,0.615
Mike Bibby,Hawks,2009-2010,POFF,11,26.56,8.45,0.45,2.09,2.55,2.55,0.82,0,1.09,2.36,3.27,7.27,0.45,1.27,3.09,0.412,0.64,0.91,0.7
P.J. Brown,Hornets,2000-2001,REG,80,35.07,8.45,3.21,6.06,9.28,1.59,0.98,1.15,1.35,3.25,3.11,7.01,0.444,0,0.05,0,2.23,2.61,0.852
Tristan Thompson,Cavaliers,2014-2015,REG,82,26.76,8.45,3.34,4.66,8,0.48,0.41,0.73,1.01,2.3,3.26,5.95,0.547,0,0,0,1.94,3.02,0.641
Jim Jackson,Trail Blazers,1998-1999,REG,49,24.02,8.45,0.73,2.51,3.24,2.61,0.88,0.12,1.67,1.63,3.1,7.55,0.411,0.51,1.84,0.278,1.73,2.06,0.842
Nik Stauskas,76ers,2015-2016,REG,73,24.78,8.45,0.32,2.19,2.51,1.9,0.6,0.27,1.29,1.58,2.88,7.47,0.385,1.45,4.45,0.326,1.25,1.62,0.771
Anthony Johnson,Pacers,2004-2005,REG,63,27.88,8.44,0.51,2.33,2.84,4.79,0.94,0.24,1.52,2.29,3.22,7.24,0.445,0.65,1.71,0.38,1.35,1.79,0.752
Josh Howard,Wizards,2010-2011,REG,18,22.7,8.44,1,3.11,4.11,1.33,0.72,0.28,1.11,1.89,3.22,9,0.358,0.39,1.61,0.241,1.61,2.61,0.617
Toni Kukoc,Bucks,2003-2004,REG,73,20.76,8.44,0.82,2.89,3.71,2.74,0.81,0.29,1.51,1.51,2.89,6.93,0.417,0.67,2.3,0.292,1.99,2.73,0.729
Zach Randolph,Trail Blazers,2002-2003,REG,77,16.92,8.44,1.81,2.65,4.45,0.53,0.55,0.18,0.81,1.83,3.43,6.69,0.513,0,0.06,0,1.58,2.09,0.758
Michael Sweetney,Knicks,2004-2005,REG,77,19.52,8.44,2.19,3.23,5.43,0.57,0.35,0.36,1.4,2.91,3.08,5.79,0.531,0,0.01,0,2.29,3.05,0.749
Udonis Haslem,Heat,2008-2009,POFF,7,29.11,8.43,1.86,6.86,8.71,0.43,0.43,0.43,0.86,2.71,3.57,6.57,0.543,0,0,0,1.29,1.43,0.9
Robin Lopez,Suns,2009-2010,REG,51,19.34,8.43,2.04,2.82,4.86,0.14,0.2,1.04,0.8,2.29,3.35,5.71,0.588,0,0,0,1.73,2.45,0.704
Rodrigue Beaubois,Mavericks,2010-2011,REG,28,17.7,8.43,0.25,1.61,1.86,2.29,0.71,0.29,1.68,2.71,3.36,7.96,0.422,0.89,2.96,0.301,0.82,1.07,0.767
Cody Zeller,Hornets,2015-2016,POFF,7,19.62,8.43,1.29,4,5.29,0.29,0.14,0.43,1,2.86,3,5.43,0.553,0,0,0,2.43,3,0.81
Mickael Pietrus,Magic,2009-2010,POFF,14,20.1,8.43,0.14,1.29,1.43,0.71,0.64,0.43,0.43,1.93,2.5,5.71,0.437,2,4.36,0.459,1.43,2.14,0.667
Shawn Marion,Mavericks,2013-2014,POFF,7,27.55,8.43,2,3.29,5.29,1.86,0.86,0.14,0.71,1.57,3.43,8.43,0.407,0.57,2.57,0.222,1,1.57,0.636
Mark Blount,Heat,2007-2008,REG,69,22.34,8.42,1,2.81,3.81,0.59,0.48,0.49,1.01,1.93,3.45,7.46,0.462,0.25,0.64,0.386,1.28,2,0.638
Sam Perkins,"SuperSonics, Heat",1996-1997,POFF,12,29.28,8.42,1.25,3.17,4.42,1.25,1.08,1,1.08,2.83,2.58,7.67,0.337,1.17,3.75,0.311,2.08,2.42,0.862
Jodie Meeks,76ers,2011-2012,REG,66,24.9,8.42,0.26,2.18,2.44,0.82,0.61,0.05,0.44,1.24,2.89,7.08,0.409,1.47,4.03,0.365,1.17,1.29,0.906
Terrence Williams,Nets,2009-2010,REG,78,22.61,8.41,0.59,3.87,4.46,2.86,0.55,0.13,1.59,1.62,3.35,8.35,0.401,0.4,1.28,0.31,1.32,1.85,0.715
Chucky Atkins,"Pistons, Celtics",2003-2004,REG,64,24.12,8.41,0.14,1.31,1.45,3.48,0.7,0.03,1.44,1.59,3,7.56,0.397,1.27,3.77,0.336,1.14,1.52,0.753
Kwame Brown,Lakers,2006-2007,REG,41,27.59,8.41,1.98,3.98,5.95,1.83,0.95,1.2,1.85,3.02,3.49,5.9,0.591,0,0.02,0,1.44,3.27,0.44
Predrag Drobnjak,Hawks,2004-2005,REG,71,20.22,8.41,1.03,2.32,3.35,0.69,0.59,0.34,1.1,1.94,3.35,7.65,0.438,0.35,1,0.352,1.35,1.69,0.8
Nenad Krstic,Thunder,2009-2010,REG,76,22.9,8.41,1.76,3.28,5.04,0.68,0.42,0.59,0.76,2.33,3.7,7.37,0.502,0.01,0.07,0.201,1,1.39,0.717
Antonio Daniels,Wizards,2007-2008,REG,71,30.43,8.41,0.32,2.54,2.86,4.79,0.97,0.03,1.28,1.1,2.89,6.3,0.459,0.24,1.04,0.23,2.39,3.08,0.776
Ronald Murray,"Bobcats, Bulls",2009-2010,POFF,5,19.48,8.4,0.8,1.8,2.6,2,0.4,0,0.2,0.6,3,7.4,0.405,0.8,2.4,0.333,1.6,1.6,1
Toni Kukoc,Bucks,2003-2004,POFF,5,20.93,8.4,0.8,2,2.8,0.8,0.6,0.4,1.2,2.2,3.4,6.8,0.5,0.8,2.4,0.333,0.8,1.6,0.5
Hedo Turkoglu,Magic,2011-2012,POFF,5,32.43,8.4,0.8,2,2.8,2.4,1,0.8,1.8,3.6,3,8.2,0.366,1,2.4,0.417,1.4,2.2,0.636
LaPhonso Ellis,Hawks,1999-2000,REG,58,21.94,8.4,1.69,3.31,5,1.02,0.55,0.43,0.9,2.29,3.6,8,0.45,0.05,0.36,0.143,1.14,1.64,0.695
Anderson Varejao,Cavaliers,2013-2014,REG,65,27.7,8.4,2.88,6.8,9.68,2.15,1.06,0.6,1.11,2.52,3.49,7.06,0.495,0,0.11,0,1.42,2.08,0.681
Jerome Williams,Pistons,1999-2000,REG,82,25.68,8.4,3.38,6.24,9.62,0.83,1.16,0.26,1.28,2.39,3.13,5.56,0.564,0,0.04,0,2.13,3.46,0.616
A.J. Price,Pacers,2010-2011,POFF,5,16,8.4,0.4,1,1.4,1.2,0.6,0,1.4,1,2.6,7,0.371,1.4,3.2,0.438,1.8,2,0.9
Brent Barry,SuperSonics,1999-2000,POFF,5,31.03,8.4,0.6,2,2.6,3,0.6,0.6,1.4,4,2.4,6.6,0.364,1.6,4,0.4,2,2.8,0.714
Shawn Bradley,Mavericks,1999-2000,REG,77,24.69,8.4,2.08,4.38,6.45,0.78,0.92,2.47,0.96,3.38,3.45,7.21,0.479,0.01,0.06,0.2,1.48,1.94,0.765
Troy Daniels,Rockets,2013-2014,REG,5,14.96,8.4,0,0.8,0.8,1,0,0,0.6,1.2,3,6.2,0.484,2.4,5,0.48,0,0,0
Maurice Evans,Lakers,2006-2007,REG,76,22.8,8.39,1.22,1.68,2.91,0.97,0.5,0.18,0.75,1.66,3.08,7.13,0.432,0.63,1.75,0.361,1.61,2.04,0.787
Maurice Taylor,Rockets,2002-2003,REG,67,20.58,8.39,1.42,2.13,3.55,0.99,0.33,0.33,1.49,2.25,3.45,7.99,0.432,0,0.03,0,1.49,2.06,0.725
Ime Udoka,Trail Blazers,2006-2007,REG,75,28.58,8.39,1.27,2.45,3.72,1.49,0.95,0.23,0.97,2.76,3.16,6.85,0.461,1.19,2.92,0.406,0.88,1.19,0.742
Charlie Bell,Bucks,2008-2009,REG,70,25.47,8.39,0.46,1.46,1.91,2.16,0.71,0.1,1.09,1.97,3.1,7.49,0.414,1.24,3.43,0.363,0.94,1.14,0.825
Evan Fournier,Nuggets,2013-2014,REG,76,19.78,8.39,0.45,2.21,2.66,1.47,0.45,0.09,1.32,2.36,3,7.16,0.419,1.17,3.12,0.376,1.22,1.62,0.756
Kris Humphries,Celtics,2013-2014,REG,69,19.94,8.39,1.84,4.09,5.93,0.97,0.45,0.88,0.93,1.97,3.35,6.7,0.5,0,0.04,0,1.7,2.09,0.813
Corey Maggette,Magic,1999-2000,REG,77,17.76,8.39,1.6,2.34,3.94,0.79,0.31,0.34,1.79,2.19,2.91,6.09,0.478,0.03,0.14,0.182,2.55,3.39,0.751
Courtney Lee,Magic,2008-2009,REG,77,25.18,8.39,0.23,2.08,2.31,1.18,0.99,0.18,0.9,2.04,3.16,7.01,0.45,1.06,2.64,0.404,1.01,1.22,0.83
Peja Stojakovic,Kings,1998-1999,REG,48,21.38,8.38,0.9,2.08,2.98,1.5,0.85,0.15,1.1,0.9,2.94,7.77,0.378,1.19,3.71,0.32,1.31,1.54,0.851
Rasho Nesterovic,Timberwolves,2001-2002,REG,82,27.1,8.38,2.44,4.07,6.51,0.91,0.55,1.33,1.15,3.2,3.95,8.01,0.493,0,0.01,0,0.48,0.87,0.549
Kareem Rush,"Lakers, Bobcats",2004-2005,REG,48,20.09,8.38,0.42,1.44,1.85,1.42,0.42,0.15,0.98,1.54,3.27,8.46,0.387,1.06,2.85,0.372,0.77,1,0.771
Trevor Booker,Wizards,2011-2012,REG,50,25.23,8.38,2.38,4.12,6.5,0.8,0.96,0.86,1.16,2.76,3.62,6.82,0.531,0.02,0.04,0.5,1.12,1.86,0.602
Sebastian Telfair,Thunder,2014-2015,REG,16,20.44,8.38,0.13,1.75,1.88,2.81,0.63,0,1.13,1.81,2.88,7.81,0.368,1.13,3.75,0.3,1.5,2.13,0.706
Tony Wroten,76ers,2015-2016,REG,8,18.04,8.38,0.25,2.38,2.63,2.5,0.38,0,3.63,1.38,2.75,8.13,0.338,0.38,2.13,0.176,2.5,4.63,0.541
Shandon Anderson,Knicks,2002-2003,REG,82,21.09,8.38,0.78,2.32,3.1,1.06,0.89,0.24,1.39,2.16,3.02,6.55,0.462,0.63,1.71,0.371,1.7,2.32,0.732
Travis Best,Heat,2002-2003,REG,72,25.07,8.38,0.36,1.68,2.04,3.54,0.61,0.1,1.47,2.42,3.21,8.1,0.396,0.5,1.51,0.33,1.46,1.71,0.854
Mario Elie,Rockets,1997-1998,REG,73,27.19,8.38,0.53,1.6,2.14,3.03,1.11,0.11,1.37,1.58,2.82,6.25,0.452,0.75,2.59,0.291,1.99,2.38,0.833
Mark Jackson,Knicks,2001-2002,REG,82,28.84,8.37,0.68,3.09,3.77,7.38,0.9,0.01,1.83,1.98,3.17,7.22,0.439,0.96,2.38,0.405,1.06,1.34,0.791
George Lynch,76ers,2000-2001,REG,82,32.02,8.37,2.44,4.76,7.2,1.7,1.21,0.37,1.33,2.71,3.34,7.51,0.445,0.18,0.7,0.263,1.5,2.09,0.719
Anthony Morrow,Pelicans,2013-2014,REG,76,18.76,8.37,0.38,1.46,1.84,0.78,0.5,0.16,0.67,1.34,3.13,6.84,0.458,1.16,2.57,0.451,0.95,1.14,0.828
Rudy Gobert,Jazz,2014-2015,REG,82,26.3,8.37,3.24,6.22,9.46,1.3,0.78,2.29,1.35,2.13,3.15,5.21,0.604,0,0.02,0,2.07,3.33,0.623
Tony Battie,Nuggets,1997-1998,REG,65,23.14,8.37,2.12,3.28,5.4,0.92,0.83,1.06,1.51,3.06,3.6,8.08,0.446,0.05,0.22,0.214,1.12,1.6,0.702
JJ Hickson,"Kings, Trail Blazers",2011-2012,REG,54,23.04,8.37,2.46,3.74,6.2,0.83,0.56,0.65,1.3,1.57,3.39,7.26,0.467,0,0.04,0,1.59,2.48,0.642
Charlie Bell,Bucks,2005-2006,REG,59,21.74,8.37,0.36,1.68,2.03,2.2,1,0.08,0.69,2.14,3.05,6.95,0.439,1.2,2.85,0.423,1.07,1.51,0.708
DerMarr Johnson,Hawks,2001-2002,REG,72,23.94,8.36,0.82,2.61,3.43,1.13,0.86,0.78,1.42,2.26,2.97,7.5,0.396,1.24,3.43,0.36,1.18,1.46,0.81
Nick Collison,SuperSonics,2004-2005,POFF,11,19.71,8.36,2,3,5,0.45,0.27,0.45,0.55,3.64,3.36,5.55,0.607,0.09,0.09,1,1.55,2.45,0.63
Marvin Williams,Hawks,2009-2010,POFF,11,31.34,8.36,2.09,3.64,5.73,0.73,0.55,0.45,0.45,1.82,2.82,7.18,0.392,0.09,0.18,0.5,2.64,2.91,0.906
Hakim Warrick,Suns,2010-2011,REG,80,17.69,8.36,1.1,2.6,3.7,0.86,0.4,0.11,0.99,1.25,2.85,5.58,0.511,0.01,0.14,0.091,2.65,3.68,0.721
Eddie House,Nets,2006-2007,REG,56,16.88,8.36,0.25,1.39,1.64,1.2,0.48,0.05,0.48,1.23,3.21,7.52,0.428,1.34,3.13,0.429,0.59,0.64,0.917
Terry Cummings,Warriors,1999-2000,REG,22,18.13,8.36,2.05,2.82,4.86,0.95,0.59,0.36,1.23,3.36,3.45,8.05,0.429,0,0,0,1.45,1.77,0.82
P.J. Brown,Hornets,2001-2002,REG,80,31.05,8.36,3.41,6.41,9.83,1.34,0.74,0.98,1.06,2.78,3.13,6.59,0.474,0,0,0,2.11,2.46,0.858
Chauncey Billups,Clippers,2012-2013,REG,22,19.01,8.36,0.09,1.36,1.45,2.23,0.55,0.05,1.18,1.14,2.41,6,0.402,1.5,4.09,0.367,2.05,2.18,0.938
Andres Nocioni,Bulls,2004-2005,REG,81,23.4,8.36,0.85,3.91,4.77,1.51,0.46,0.42,1.67,2.57,2.98,7.42,0.401,0.31,1.2,0.258,2.1,2.74,0.766
Austin Rivers,"Pelicans, Clippers",2014-2015,POFF,14,17.87,8.36,0.43,1.29,1.71,1.14,0.71,0.29,0.86,2,3.29,7.5,0.438,0.93,2.5,0.371,0.86,1.36,0.632
Tony Allen,Grizzlies,2015-2016,REG,64,25.31,8.36,1.63,3.02,4.64,1.09,1.7,0.28,1.22,2.73,3.36,7.33,0.458,0.23,0.66,0.357,1.41,2.16,0.652
Vladimir Radmanovic,Lakers,2007-2008,REG,65,22.82,8.35,0.86,2.45,3.31,1.89,0.71,0.18,1.12,2.26,3.05,6.72,0.453,1.46,3.6,0.406,0.8,1,0.8
Jose Juan Barea,Timberwolves,2013-2014,REG,79,18.62,8.35,0.2,1.75,1.95,3.84,0.33,0,1.58,1.63,3.22,8.3,0.387,0.92,2.92,0.316,1,1.27,0.79
George Lynch,Grizzlies,1996-1997,REG,41,25.8,8.34,2.39,3.98,6.37,1.85,1.54,0.41,1.56,2.37,3.34,7.1,0.471,0.2,0.76,0.258,1.46,2.37,0.619
Andrei Kirilenko,Jazz,2006-2007,REG,70,29.27,8.34,1.26,3.44,4.7,2.89,1.06,2.06,1.93,2.46,2.81,5.97,0.471,0.23,1.07,0.213,2.49,3.41,0.728
Derrick Williams,Kings,2014-2015,REG,74,19.75,8.34,0.55,2.18,2.73,0.68,0.46,0.05,0.76,0.91,2.93,6.55,0.447,0.66,2.11,0.314,1.81,2.65,0.684
Ty Lawson,Nuggets,2009-2010,REG,65,20.27,8.34,0.65,1.26,1.91,3.12,0.74,0.03,1.26,1.37,3.09,6,0.515,0.52,1.28,0.41,1.63,2.15,0.757
Meyers Leonard,Trail Blazers,2015-2016,REG,61,21.85,8.34,0.84,4.31,5.15,1.51,0.13,0.3,1.26,3,3.18,7.11,0.447,1.41,3.74,0.377,0.57,0.75,0.761
Terry Mills,Pistons,1999-2000,POFF,3,25.56,8.33,0,2,2,0.33,0.67,0,0.67,4,3,5,0.6,2,3,0.667,0.33,0.67,0.5
Lindsey Hunter,Pistons,1999-2000,POFF,3,31.04,8.33,0,2.33,2.33,1.67,1.67,0.33,1.67,1.33,3.33,10.67,0.312,0.33,3,0.111,1.33,2,0.667
Anthony Parker,Cavaliers,2010-2011,REG,72,29.04,8.33,0.46,2.57,3.03,3.03,0.93,0.14,1.11,1.51,3.06,7.67,0.399,1.19,3.15,0.379,1.03,1.32,0.779
Marc Jackson,Timberwolves,2002-2003,POFF,6,18.24,8.33,1.67,3.83,5.5,1.33,0.33,0.17,1.5,3.17,2.83,5.33,0.531,0,0.17,0,2.67,3.17,0.842
James White,Spurs,2006-2007,REG,6,22.75,8.33,0.5,2.83,3.33,0.83,0.5,0.17,0.83,1.17,3,6.83,0.439,0.33,1.17,0.286,2,2.5,0.8
Marreese Speights,"Grizzlies, Cavaliers",2012-2013,REG,79,16.45,8.33,1.85,3.04,4.89,0.59,0.3,0.67,1.01,2.22,3.29,7.39,0.445,0.04,0.13,0.3,1.71,2.22,0.771
DeJuan Blair,Spurs,2010-2011,REG,81,21.4,8.32,2.65,4.32,6.98,0.95,1.17,0.52,1.4,2.63,3.6,7.2,0.501,0,0.02,0,1.11,1.69,0.657
Walt Williams,Rockets,2000-2001,REG,72,22,8.32,0.43,2.97,3.4,1.35,0.42,0.39,1.01,2.13,2.81,7.13,0.394,1.36,3.44,0.395,1.35,1.75,0.77
Ruben Patterson,Trail Blazers,2002-2003,REG,78,21.26,8.32,1.54,1.85,3.38,1.29,0.94,0.37,1.5,2.06,3.26,6.62,0.492,0.04,0.26,0.15,1.77,2.82,0.627
Christian Laettner,Wizards,2002-2003,REG,76,29.12,8.32,1.5,5.11,6.61,3.09,1.08,0.53,1.14,2.71,3.36,6.79,0.494,0.03,0.21,0.125,1.58,1.89,0.833
Drew Gooden,Wizards,2013-2014,REG,22,17.96,8.32,1.68,3.5,5.18,0.68,0.45,0.32,0.77,2.41,3.45,6.5,0.531,0.32,0.77,0.412,1.09,1.23,0.889
Terry Porter,Spurs,2000-2001,POFF,13,25.05,8.31,0.08,1.77,1.85,3.38,0.85,0,1.69,1.15,3,6.62,0.453,1,3,0.333,1.31,1.69,0.773
Eddie Johnson,"Pacers, Nuggets, Rockets",1996-1997,POFF,16,18.06,8.31,0.94,1.31,2.25,0.63,0.31,0,0.44,1.06,3,7.31,0.41,0.88,2.94,0.298,1.44,1.5,0.958
Jamaal Tinsley,Pacers,2003-2004,REG,52,26.05,8.31,0.54,2.08,2.62,5.83,1.62,0.33,2.12,2.54,2.94,7.12,0.414,1.48,3.98,0.372,0.94,1.29,0.731
Delonte West,"Cavaliers, SuperSonics",2007-2008,REG,61,25.14,8.31,0.51,2.66,3.16,3.75,0.97,0.48,1.92,1.69,3.21,7.79,0.413,0.79,2.21,0.356,1.1,1.49,0.736
Shandon Anderson,Jazz,1997-1998,REG,82,19.55,8.3,1.05,1.72,2.77,1.09,0.8,0.22,1.11,1.77,3.28,6.1,0.538,0.09,0.39,0.219,1.66,2.26,0.735
Courtney Lee,Rockets,2010-2011,REG,81,21.27,8.3,0.63,1.95,2.58,1.23,0.72,0.22,0.84,1.26,3.12,7.11,0.439,0.88,2.15,0.408,1.17,1.48,0.792
Reggie Williams,Bobcats,2011-2012,REG,33,22.63,8.3,0.82,2,2.82,1.82,0.61,0.09,1,1.03,3.21,7.73,0.416,1,3.24,0.308,0.88,1.21,0.725
Kyle Korver,Jazz,2009-2010,POFF,10,21.02,8.3,0,1.1,1.1,1.3,0.5,0,0.7,2.2,3.2,6.1,0.525,1.1,2.3,0.478,0.8,0.9,0.889
Jameer Nelson,"Mavericks, Celtics, Nuggets",2014-2015,REG,63,22.32,8.3,0.52,1.79,2.32,4.02,0.75,0.1,1.73,2.16,3.25,8,0.407,1.41,4.1,0.345,0.38,0.57,0.667
Zaza Pachulia,Bucks,2014-2015,REG,73,23.69,8.3,2.7,4.15,6.85,2.44,1.1,0.29,1.82,2.33,3.29,7.25,0.454,0,0.04,0,1.73,2.19,0.787
Lance Stephenson,"Clippers, Grizzlies",2015-2016,REG,69,19.89,8.3,0.58,2.65,3.23,1.93,0.62,0.13,1.36,1.96,3.3,6.87,0.481,0.43,1.13,0.385,1.26,1.61,0.784
Shaun Livingston,Warriors,2015-2016,POFF,23,21.73,8.3,0.57,2.48,3.04,3.43,0.52,0.17,1.26,1.96,3.48,7.13,0.488,0,0.04,0,1.35,1.57,0.861
Kyle Korver,Bulls,2010-2011,REG,82,20.11,8.3,0.15,1.68,1.83,1.51,0.43,0.24,0.73,1.9,2.95,6.79,0.434,1.46,3.52,0.415,0.94,1.06,0.885
P.J. Brown,Bulls,2006-2007,POFF,10,22.75,8.3,1.7,3,4.7,1.2,0.8,0.2,0.8,2.9,3.3,6.7,0.493,0,0,0,1.7,2.3,0.739
Ed Davis,Lakers,2014-2015,REG,79,23.29,8.3,2.91,4.68,7.59,1.19,0.62,1.24,0.72,2.56,3.57,5.94,0.601,0,0,0,1.16,2.39,0.487
James Robinson,Timberwolves,1996-1997,REG,69,19.03,8.29,0.35,1.28,1.62,1.83,0.43,0.12,1,1.81,2.84,6.99,0.407,1.48,3.87,0.382,1.13,1.65,0.684
Bryant Reeves,Grizzlies,2000-2001,REG,75,24.08,8.29,1.76,4.27,6.03,1.07,0.57,0.72,1.2,3.24,3.39,7.36,0.46,0.01,0.05,0.25,1.51,1.89,0.796
Louis Williams,Hawks,2013-2014,POFF,7,19.01,8.29,0,2.29,2.29,1.14,1,0.14,1.86,1.43,2.71,7.14,0.38,0.71,2.29,0.313,2.14,2.29,0.938
George Lynch,Hornets,2003-2004,POFF,7,21.15,8.29,1.86,3.43,5.29,1.71,0.43,0.43,1,2.14,3.57,8.14,0.439,0.43,1.71,0.25,0.71,1.14,0.625
Stephen Jackson,"Bucks, Spurs",2011-2012,POFF,14,21.35,8.29,0.36,1.64,2,1.71,0.64,0.21,1.29,2.71,2.71,5.07,0.535,1.86,3.07,0.605,1,1.07,0.933
Corey Brewer,Nuggets,2011-2012,POFF,7,16.64,8.29,0.86,1.14,2,0.86,1,0.29,0.29,1.57,3.29,7.71,0.426,0.86,2.86,0.3,0.86,1.14,0.75
Danny Green,Spurs,2014-2015,POFF,7,29.08,8.29,1,2.14,3.14,2.14,1,1,0.71,1.71,3,8.71,0.344,1.71,5.71,0.3,0.57,0.86,0.667
Kareem Rush,Pacers,2007-2008,REG,71,21.19,8.28,0.27,2.1,2.37,1.25,0.59,0.27,0.87,1.52,3.21,8.01,0.401,1.44,3.69,0.389,0.42,0.59,0.714
Marko Jaric,Timberwolves,2007-2008,REG,75,29.18,8.28,0.51,2.45,2.96,4.15,1.29,0.43,1.71,2.4,3.03,7.04,0.43,0.61,1.69,0.362,1.61,2.17,0.742
George Lynch,76ers,1998-1999,REG,43,30.57,8.28,2.56,3.93,6.49,1.77,1.98,0.51,1.84,3.3,3.42,8.12,0.421,0.21,0.53,0.391,1.23,1.95,0.631
Shaun Livingston,Nets,2013-2014,REG,76,25.98,8.28,0.88,2.36,3.24,3.22,1.22,0.41,1.38,2.26,3.09,6.41,0.483,0.01,0.08,0.167,2.08,2.51,0.827
Jumaine Jones,Cavaliers,2001-2002,REG,81,26.47,8.28,1.54,4.51,6.05,1.43,0.93,0.57,0.98,2.27,3.54,7.9,0.448,0.64,2.07,0.31,0.56,0.84,0.662
Slava Medvedenko,Lakers,2003-2004,REG,68,21.27,8.28,2.18,2.87,5.04,0.84,0.56,0.26,0.87,2.81,3.49,7.9,0.441,0,0.04,0,1.31,1.71,0.767
Brandon Bass,Mavericks,2007-2008,REG,79,19.7,8.28,1.52,2.87,4.39,0.73,0.28,0.61,1.04,1.9,3.11,6.24,0.499,0,0.05,0,2.05,2.49,0.822
